params,filename
"{""success_criteria"": {""(1, 0)"": 9}, ""copies_already_held"": {""(2, 0)"": 0}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/85d533cd-65a9-4be0-8390-3abc2c0aa679.npy
"{""success_criteria"": {""(1, 0)"": 8}, ""copies_already_held"": {""(2, 0)"": 1}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/3c5fb5d7-1010-4bfc-b2e5-1f82efefa681.npy
"{""success_criteria"": {""(1, 0)"": 7}, ""copies_already_held"": {""(2, 0)"": 2}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/631eff2c-4655-40b0-bc44-2cbb61e8cd89.npy
"{""success_criteria"": {""(1, 0)"": 6}, ""copies_already_held"": {""(2, 0)"": 3}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/1b6889d3-1759-4472-a575-806b3aeb37be.npy
"{""success_criteria"": {""(1, 0)"": 5}, ""copies_already_held"": {""(2, 0)"": 4}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/f4d1884e-a6ad-43fc-85d7-370b574e7b4c.npy
"{""success_criteria"": {""(1, 0)"": 4}, ""copies_already_held"": {""(2, 0)"": 5}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/6f2e5eb0-9f9b-47d7-8124-c4c52629a03d.npy
"{""success_criteria"": {""(1, 0)"": 3}, ""copies_already_held"": {""(2, 0)"": 6}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/aae28b73-9da0-4494-a08e-f78edcc3969a.npy
"{""success_criteria"": {""(1, 0)"": 2}, ""copies_already_held"": {""(2, 0)"": 7}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/b707feb0-fc01-4c0d-94b0-7a96aa44b738.npy
"{""success_criteria"": {""(1, 0)"": 1}, ""copies_already_held"": {""(2, 0)"": 8}, ""champions_missing"": {""1"": 20}, ""level"": 4, ""N"": 100000, ""semantics"": ""or""}",../distributions/7bb44ac6-7be6-4804-8f47-3c59e62b3361.npy
"{""success_criteria"": {""(1, 0)"": 6}, ""copies_already_held"": {""(2, 0)"": 3}, ""champions_missing"": {""1"": 20}, ""level"": 5, ""N"": 100000, ""semantics"": ""or""}",../distributions/ba4419a8-5503-45ef-b000-dc99c57117e4.npy
"{""success_criteria"": {""(1, 0)"": 5}, ""copies_already_held"": {""(2, 0)"": 4}, ""champions_missing"": {""1"": 20}, ""level"": 5, ""N"": 100000, ""semantics"": ""or""}",../distributions/034f9ccf-e3ee-484b-8a43-25100cd6db91.npy
"{""success_criteria"": {""(1, 0)"": 4}, ""copies_already_held"": {""(2, 0)"": 5}, ""champions_missing"": {""1"": 20}, ""level"": 5, ""N"": 100000, ""semantics"": ""or""}",../distributions/fb6e508f-2db1-4dcd-811f-80337915a64c.npy
"{""success_criteria"": {""(1, 0)"": 3}, ""copies_already_held"": {""(2, 0)"": 6}, ""champions_missing"": {""1"": 20}, ""level"": 5, ""N"": 100000, ""semantics"": ""or""}",../distributions/0dee97c9-730b-4ccb-b7a8-fb2ba69f547e.npy
"{""success_criteria"": {""(1, 0)"": 2}, ""copies_already_held"": {""(2, 0)"": 7}, ""champions_missing"": {""1"": 20}, ""level"": 5, ""N"": 100000, ""semantics"": ""or""}",../distributions/8b9dbe7e-c3b9-4ab7-91bd-bdabae29cf3f.npy
"{""success_criteria"": {""(1, 0)"": 1}, ""copies_already_held"": {""(2, 0)"": 8}, ""champions_missing"": {""1"": 20}, ""level"": 5, ""N"": 100000, ""semantics"": ""or""}",../distributions/e03aeefe-580b-447d-a588-9e30130d389e.npy
